"X.data_provider","sys_sample_code","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment","SiteID","DEC_sample_type"
"ALSRNY","15-RAMA-16.1-07102018-WS","15-RAMA-16.1-07102018-WS","WS","N","Field","","R1806429","07/10/2018 13:45:00","Unknown",NA,NA,NA,NA,NA,"07/11/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-RAMA-16.1","N"
"ALSRNY","15-RAMA-16.5-07102018-WS","15-RAMA-16.5-07102018-WS","WS","N","Field","","R1806429","07/10/2018 14:15:00","Unknown",NA,NA,NA,NA,NA,"07/11/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-RAMA-16.5","N"
"ALSRNY","15-RAMA-16.7-07102018-WS","15-RAMA-16.7-07102018-WS","WS","N","Field","","R1806429","07/10/2018 14:50:00","Unknown",NA,NA,NA,NA,NA,"07/11/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-RAMA-16.7","N"
"ALSRNY","15-OCSDSTP-001-07102018-WS","15-OCSDSTP-001-07102018-WS","WS","N","Field","","R1806429","07/10/2018 15:15:00","Unknown",NA,NA,NA,NA,NA,"07/11/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-OCSDSTP-001","N"
"ALSRNY","15-RAMA-1.1-07102018-W","15-RAMA-1.1-07102018-W","WS","N","Field","","R1806429","07/10/2018 10:00:00","Unknown",NA,NA,NA,NA,NA,"07/12/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-RAMA-1.1","N"
"ALSRNY","15-RAMA-4.8-07102018-W","15-RAMA-4.8-07102018-W","WS","N","Field","","R1806429","07/10/2018 11:15:00","Unknown",NA,NA,NA,NA,NA,"07/12/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-RAMA-4.8","N"
"ALSRNY","15-RAMA-11.8-07102018-W","15-RAMA-11.8-07102018-W","WS","N","Field","","R1806429","07/10/2018 12:10:00","Unknown",NA,NA,NA,NA,NA,"07/12/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-RAMA-11.8","N"
"ALSRNY","15-RAMA-13.3-07102018-W","15-RAMA-13.3-07102018-W","WS","N","Field","","R1806429","07/10/2018 12:45:00","Unknown",NA,NA,NA,NA,NA,"07/12/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-RAMA-13.3","N_DUPPARENT"
"ALSRNY","15-RAMA-13.3-07102018-W DUP","15-RAMA-13.3-07102018-W DUP","WS","N","Field","","R1806429","07/10/2018 12:45:00","Unknown",NA,NA,NA,NA,NA,"07/12/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-RAMA-13.3","DUP"
"ALSRNY","15-RAMA-18.6-07112018-W","15-RAMA-18.6-07112018-W","WS","N","Field","","R1806429","07/11/2018 09:00:00","Unknown",NA,NA,NA,NA,NA,"07/13/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-RAMA-18.6","N"
"ALSRNY","15-RAMA-T25_3-0.2-07112018-W","15-RAMA-T25_3-0.2-07112018-W","WS","N","Field","","R1806429","07/11/2018 10:00:00","Unknown",NA,NA,NA,NA,NA,"07/13/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-RAMA-T25_3","N"
"ALSRNY","15-RAMA-KJSTP-001-07112018-W","15-RAMA-KJSTP-001-07112018-W","WS","N","Field","","R1806429","07/11/2018 10:45:00","Unknown",NA,NA,NA,NA,NA,"07/13/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-RAMA-KJSTP","N"
"ALSRNY","15-RAMA-16.8-07112018-W","15-RAMA-16.8-07112018-W","WS","N","Field","","R1806429","07/11/2018 08:00:00","Unknown",NA,NA,NA,NA,NA,"07/13/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"15-RAMA-16.8","N"
"ALSRNY","598432-MB1","Method Blank","WQ","LB","Lab","","R1806429","07/12/2018 23:18:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","598353-MB1","Method Blank","WQ","LB","Lab","","R1806429","07/11/2018 17:19:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","599672-MB1","Method Blank","WQ","LB","Lab","","R1806429","07/23/2018 14:28:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","599130-MB1","Method Blank","WQ","LB","Lab","","R1806429","07/19/2018 03:04:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","598718-MB1","Method Blank","WQ","LB","Lab","","R1806429","07/13/2018 09:38:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","598656-MB1","Method Blank","WQ","LB","Lab","","R1806429","07/12/2018 21:55:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","598976-MB1","Method Blank","WQ","LB","Lab","","R1806429","07/18/2018 10:59:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","598319-MB1","Method Blank","WQ","LB","Lab","","R1806429","07/11/2018 16:15:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","318029-MB1","Method Blank","WQ","LB","Lab","","R1806429","07/19/2018 11:28:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","317710-MB1","Method Blank","WQ","LB","Lab","","R1806429","07/13/2018 14:40:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","598853-MB1","Method Blank","WQ","LB","Lab","","R1806429","07/17/2018 17:35:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","598745-MB1","Method Blank","WQ","LB","Lab","","R1806429","07/12/2018 08:55:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","599306-MB2","Method Blank","WQ","LB","Lab","","R1806429","07/18/2018 11:22:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","598552-MB2","Method Blank","WQ","LB","Lab","","R1806429","07/12/2018 17:51:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","599673-MB2","Method Blank","WQ","LB","Lab","","R1806429","07/23/2018 18:00:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","599263-MB2","Method Blank","WQ","LB","Lab","","R1806429","07/19/2018 09:29:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","598785-MB2","Method Blank","WQ","LB","Lab","","R1806429","07/16/2018 13:29:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","598732-MB2","Method Blank","WQ","LB","Lab","","R1806429","07/13/2018 16:40:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","600442-MB2","Method Blank","WQ","LB","Lab","","R1806429","07/27/2018 16:10:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","598699-MB2","Method Blank","WQ","LB","Lab","","R1806429","07/12/2018 15:26:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","318036-MB2","Method Blank","WQ","LB","Lab","","R1806429","07/19/2018 12:21:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
"ALSRNY","317711-MB2","Method Blank","WQ","LB","Lab","","R1806429","07/13/2018 14:40:00","",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
